                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.0162,                0.84966,                 1.2086,                0.84195,                0.70232,                 0.8028,                 0.6095,                 0.8894,                 0.6625,                 1.0636,               0.003862,               0.003862,               0.003862
                     64,                 1.0061,                0.84023,                 1.2064,                0.84211,                0.70371,                0.80363,                0.61055,                0.88857,                0.66062,                 1.0629,               0.003763,               0.003763,               0.003763
                     65,                 1.0062,                0.83961,                 1.2075,                0.84214,                0.70486,                0.80435,                0.61125,                0.88774,                0.65869,                 1.0622,               0.003664,               0.003664,               0.003664
                     66,                 1.0088,                0.83222,                 1.2015,                0.84607,                0.70323,                0.80499,                0.61212,                0.88693,                0.65693,                 1.0614,               0.003565,               0.003565,               0.003565
                     67,                 1.0047,                0.82915,                 1.2022,                0.84578,                 0.7051,                0.80589,                0.61293,                0.88616,                0.65518,                 1.0607,               0.003466,               0.003466,               0.003466
                     68,                0.99746,                0.82703,                 1.2001,                0.84467,                0.70708,                0.80689,                0.61373,                0.88538,                0.65339,                 1.0599,               0.003367,               0.003367,               0.003367
                     69,                0.99946,                0.82643,                 1.1995,                 0.8459,                0.70718,                0.80771,                0.61458,                 0.8844,                0.65155,                  1.059,               0.003268,               0.003268,               0.003268
                     70,                0.99333,                0.81176,                 1.1942,                0.84624,                0.70782,                0.80864,                0.61538,                0.88365,                0.64981,                 1.0582,               0.003169,               0.003169,               0.003169
                     71,                0.99595,                0.81465,                  1.196,                0.84742,                0.70967,                0.80968,                0.61625,                0.88289,                0.64814,                 1.0575,                0.00307,                0.00307,                0.00307
                     72,                0.99507,                0.80654,                  1.194,                0.84714,                0.71079,                0.81046,                0.61717,                0.88213,                0.64641,                 1.0568,               0.002971,               0.002971,               0.002971
                     73,                0.98763,                 0.8013,                 1.1924,                0.84757,                0.71192,                0.81121,                0.61805,                 0.8814,                0.64474,                 1.0561,               0.002872,               0.002872,               0.002872
                     74,                0.99288,                0.80589,                  1.193,                0.84603,                0.71346,                0.81205,                0.61878,                0.88058,                 0.6432,                 1.0554,               0.002773,               0.002773,               0.002773
                     75,                0.99211,                0.80377,                 1.1919,                 0.8468,                0.71477,                0.81272,                0.61971,                0.87973,                0.64163,                 1.0546,               0.002674,               0.002674,               0.002674
                     76,                0.99238,                0.79921,                 1.1901,                0.84742,                0.71541,                0.81365,                 0.6207,                0.87896,                0.64006,                 1.0538,               0.002575,               0.002575,               0.002575
                     77,                0.98692,                0.78981,                 1.1861,                 0.8491,                  0.716,                0.81433,                0.62145,                0.87823,                0.63834,                  1.053,               0.002476,               0.002476,               0.002476
                     78,                0.98471,                0.78801,                 1.1863,                0.85011,                0.71681,                0.81507,                0.62231,                 0.8774,                0.63663,                 1.0522,               0.002377,               0.002377,               0.002377
                     79,                0.97813,                0.78128,                 1.1858,                0.85037,                  0.718,                0.81595,                0.62308,                0.87667,                0.63498,                 1.0514,               0.002278,               0.002278,               0.002278
                     80,                0.98021,                0.78046,                 1.1847,                0.85071,                0.71905,                0.81665,                0.62369,                0.87596,                0.63331,                 1.0508,               0.002179,               0.002179,               0.002179
                     81,                0.97796,                0.78183,                 1.1861,                0.85172,                0.71942,                0.81738,                0.62456,                0.87516,                0.63169,                 1.0501,                0.00208,                0.00208,                0.00208
                     82,                0.99822,                0.81825,                 1.2007,                0.85271,                0.71899,                0.81763,                0.62472,                0.87492,                0.63141,                   1.05,               0.001981,               0.001981,               0.001981
                     83,                0.99455,                0.80901,                 1.1958,                0.85178,                0.71958,                0.81765,                0.62484,                0.87488,                0.63119,                 1.0499,               0.001882,               0.001882,               0.001882
                     84,                0.98739,                0.80227,                 1.1931,                0.85249,                0.71978,                0.81782,                0.62503,                0.87484,                0.63094,                 1.0498,               0.001783,               0.001783,               0.001783
                     85,                0.98625,                 0.8024,                 1.1926,                0.85198,                0.72061,                0.81803,                0.62513,                0.87469,                0.63056,                 1.0495,               0.001684,               0.001684,               0.001684
                     86,                 0.9785,                0.79395,                 1.1899,                0.85229,                0.72035,                0.81821,                0.62542,                0.87437,                0.63009,                 1.0492,               0.001585,               0.001585,               0.001585
                     87,                0.98984,                0.79946,                 1.1927,                0.85185,                0.72074,                0.81844,                0.62566,                0.87401,                0.62955,                 1.0488,               0.001486,               0.001486,               0.001486
                     88,                0.98239,                0.79101,                 1.1905,                0.85226,                 0.7212,                0.81884,                0.62579,                0.87369,                0.62899,                 1.0484,               0.001387,               0.001387,               0.001387
                     89,                0.97238,                   0.78,                 1.1859,                0.85121,                0.72199,                0.81902,                0.62601,                0.87358,                0.62834,                 1.0482,               0.001288,               0.001288,               0.001288
                     90,                0.97141,                0.77914,                 1.1858,                0.85242,                0.72154,                0.81907,                0.62627,                0.87334,                0.62778,                 1.0478,               0.001189,               0.001189,               0.001189
                     91,                0.92133,                0.69876,                 1.1643,                0.85154,                0.72229,                0.81908,                0.62661,                 0.8729,                0.62735,                 1.0474,                0.00109,                0.00109,                0.00109
                     92,                0.92321,                0.68985,                 1.1618,                 0.8516,                0.72263,                0.81937,                0.62679,                0.87261,                0.62672,                 1.0472,               0.000991,               0.000991,               0.000991
                     93,                0.90949,                0.68162,                 1.1565,                0.85226,                0.72212,                0.81944,                0.62689,                0.87225,                0.62603,                 1.0468,               0.000892,               0.000892,               0.000892
                     94,                0.90647,                0.67799,                 1.1543,                0.85186,                  0.723,                 0.8196,                0.62722,                0.87192,                0.62537,                 1.0465,               0.000793,               0.000793,               0.000793
                     95,                0.89877,                0.66272,                 1.1489,                0.85384,                 0.7224,                0.81974,                0.62751,                0.87156,                0.62467,                 1.0463,               0.000694,               0.000694,               0.000694
                     96,                0.90905,                0.66791,                 1.1547,                0.85369,                0.72278,                0.81986,                0.62773,                0.87146,                0.62407,                 1.0461,               0.000595,               0.000595,               0.000595
                     97,                0.90713,                0.66829,                 1.1525,                0.85496,                0.72209,                0.82001,                0.62802,                0.87116,                0.62339,                 1.0458,               0.000496,               0.000496,               0.000496
                     98,                0.89667,                0.65903,                  1.148,                0.85601,                0.72156,                0.82023,                0.62833,                0.87084,                0.62275,                 1.0455,               0.000397,               0.000397,               0.000397
                     99,                 0.9017,                0.65674,                 1.1488,                0.85686,                0.72085,                0.82031,                0.62876,                0.87049,                0.62209,                 1.0453,               0.000298,               0.000298,               0.000298
                    100,                 0.8997,                 0.6534,                 1.1454,                0.85719,                 0.7212,                0.82046,                0.62899,                0.87005,                0.62147,                  1.045,               0.000199,               0.000199,               0.000199
